system	feature	relative_time_ms	estimate	SE	z	p_value	CI95_low	CI95_high	SESOI_lower	SESOI_upper	TOST_p_lower	TOST_p_upper	TOST_p	TOST_equivalent_alpha_0_05	p_Bonferroni_within_trajectory	p_BH_global	TOST_p_Bonferroni_within_trajectory	TOST_p_BH_global	predefined_followup_significant	SESOI_equivalent	followup_classification
A04	cpps	-5	0.0765827079982665	0.0217195601692477	3.52597876759487	0.000421920793667176	0.0340131523064904	0.119152263690043	-0.1	0.1	2.22044604925031e-16	0.14047983394243	0.14047983394243	FALSE	0.00379728714300458	0.00111252746588857	1	0.16998701367463	TRUE	FALSE	SIGNIFICANT
A04	cpps	0	0.0467145399865852	0.0268936151769988	1.73701228634143	0.0823850022268174	-0.00599597717441221	0.0994250571475827	-0.1	0.1	2.44359040779685e-08	0.0237764443116702	0.0237764443116702	TRUE	0.741465020041357	0.133529208502181	0.213987998805032	0.0309619545090546	FALSE	FALSE	NOT_SIGNIFICANT
A04	cpps	5	0.0378356934824515	0.0217195601692478	1.74201011381539	0.0815066745431637	-0.00473386220932481	0.0804052491742278	-0.1	0.1	1.10381481732702e-10	0.00210399023094107	0.00210399023094107	TRUE	0.733560070888473	0.132510851251156	0.0189359120784696	0.00315896550254608	FALSE	TRUE	NOT_SIGNIFICANT
A04	cpps	10	0.0293241433993733	0.0265012005073082	1.10652132122417	0.268500940757903	-0.0226172551420252	0.0812655419407719	-0.1	0.1	5.30603289528031e-07	0.00382780614730551	0.00382780614730551	TRUE	1	0.364885893850484	0.0344502553257496	0.0055429979728741	FALSE	TRUE	NOT_SIGNIFICANT
A04	cpps	15	-0.00359660268022926	0.0221262566361447	-0.162549080912041	0.870873481176052	-0.0469632687997633	0.0397700634393048	-0.1	0.1	6.59381990331109e-06	1.4199872797793e-06	6.59381990331109e-06	TRUE	1	0.899732836302744	5.93443791297998e-05	1.25258944399816e-05	FALSE	TRUE	NOT_SIGNIFICANT
A04	cpps	20	-0.0528309568042988	0.0334613937779705	-1.57886300716739	0.114367482715531	-0.118414083481634	0.0127521698730361	-0.1	0.1	0.0793206913508955	2.46927142206493e-06	0.0793206913508955	FALSE	1	0.177236157424653	0.71388622215806	0.0984542539015799	FALSE	FALSE	NOT_SIGNIFICANT
A04	energy	-20	0.00666726591907838	0.0135031688425423	0.493755650753094	0.621478757524253	-0.0197984586894679	0.0331329905276247	-0.1	0.1	1.4432899320127e-15	2.39079820886492e-12	2.39079820886492e-12	TRUE	1	0.697846909931894	2.15171838797843e-11	9.38609667184006e-12	FALSE	TRUE	NOT_SIGNIFICANT
A04	energy	-15	0.0166323033139175	0.00892893407829148	1.8627423125852	0.0624985297198408	-0.000868085899866165	0.0341326925277011	-0.1	0.1	0	4.96434796612622e-21	4.96434796612622e-21	TRUE	0.562486767478567	0.105491148890177	4.4679131695136e-20	6.2645343382069e-20	FALSE	TRUE	NOT_SIGNIFICANT
A04	energy	-10	0.0254232169968686	0.0106944195855883	2.37724140084506	0.0174426686999174	0.00446253977355591	0.0463838942201814	-0.1	0.1	0	1.54653032506759e-12	1.54653032506759e-12	TRUE	0.156984018299257	0.0339875529814567	1.39187729256083e-11	6.40360212723299e-12	FALSE	TRUE	NOT_SIGNIFICANT
A04	energy	-5	0.0316295851282924	0.00876481386570821	3.60870015186987	0.00030773504413834	0.014450865620307	0.0488083046362778	-0.1	0.1	0	3.08176858695937e-15	3.08176858695937e-15	TRUE	0.00276961539724506	0.000836408068683693	2.77359172826343e-14	1.87739925412467e-14	TRUE	TRUE	SIGNIFICANT
