system	feature	region	relative_time_ms	estimate_tts_minus_bf	SE	CI95_low	CI95_high	wald_z	p_raw	p_bonferroni_within_trajectory	p_BH_global
A11	energy	Interior_A	-15	-0.0249395432595636	0.0122887379538329	-0.0490250270645265	-0.000854059454600684	-2.02946334711164	0.0424111185938916	0.381700067345025	0.0553642681151787
A11	energy	Interior_A	-10	-0.0288925096760071	0.01326444494283	-0.0548903440388683	-0.00289467531314596	-2.17819213698986	0.0293917352298496	0.264525617068646	0.0392054186371316
A11	energy	Interior_A	-5	-0.0366753004401809	0.0122034118271095	-0.0605935481098256	-0.0127570527705363	-3.00533170229558	0.00265291363781048	0.0238762227402943	0.00396813987217183
A11	energy	Interior_A	0	-0.0450496616779873	0.0133566868311015	-0.0712282868197266	-0.018871036536248	-3.37281709511132	0.000744033594868603	0.00669630235381743	0.00119617130014265
A11	energy	Interior_A	5	-0.0503897283786813	0.0122034118271094	-0.0743079760483259	-0.0264714807090367	-4.1291508549062	3.64105458025488e-05	0.000327694912222939	6.4253904357439e-05
A11	energy	Interior_A	10	-0.0520997830275634	0.01326444494283	-0.0780976173904245	-0.0261019486647022	-3.92777709524331	8.57346154766755e-05	0.000771611539290079	0.000147690182673796
A11	energy	Interior_A	15	-0.0506036911484349	0.0122887379538329	-0.0746891749533978	-0.0265182073434721	-4.11789162878615	3.82354411326904e-05	0.000344118970194214	6.72503887178958e-05
A11	energy	Interior_A	20	-0.0473735029230563	0.0149952367162458	-0.0767636268265507	-0.0179833790195619	-3.15923675094319	0.00158182933306494	0.0142364639975845	0.00243712077478029
A11	energy	Interior_B	-20	-0.0631138580950425	0.014995236716246	-0.0925039819985373	-0.0337237341915477	-4.20892709393939	2.56586156114585e-05	0.000230927540503126	4.56980989605486e-05
A11	energy	Interior_B	-15	-0.0643940307775674	0.0122887379538329	-0.0884795145825303	-0.0403085469726045	-5.24008494765589	1.60502695820238e-07	1.44452426238214e-06	3.23037071334403e-07
A11	energy	Interior_B	-10	-0.0661459404997404	0.01326444494283	-0.0921437748626016	-0.0401481061368792	-4.9867100195169	6.14161387652219e-07	5.52745248886997e-06	1.19671152741057e-06
A11	energy	Interior_B	-5	-0.0680986003124541	0.0122034118271095	-0.0920168479820988	-0.0441803526428095	-5.58029191157635	2.40115260325646e-08	2.16103734293082e-07	5.03841347900662e-08
A11	energy	Interior_B	0	-0.0670101273115793	0.0133566868311015	-0.0931887524533186	-0.0408315021698399	-5.01697225958342	5.24921434847652e-07	4.72429291362887e-06	1.02913080321549e-06
A11	energy	Interior_B	5	-0.0604496267783307	0.0122034118271094	-0.0843678744479754	-0.0365313791086861	-4.95350215454043	7.28895508745366e-07	6.5600595787083e-06	1.41680178350261e-06
A11	energy	Interior_B	10	-0.0522010526903222	0.01326444494283	-0.0781988870531833	-0.026203218327461	-3.93541176546096	8.30541742970379e-05	0.000747487568673341	0.00014369547022012
