system,feature,time_ms,estimate,significant,equivalent
A12,flatness,-20,-0.0225739545331526,False,True
A12,flatness,-15,-0.0225118462163876,False,True
A12,flatness,-10,-0.0337893816067073,False,True
A12,flatness,-5,-0.060666481040976,True,True
A12,flatness,0,-0.0790841713751773,True,False
A12,flatness,5,-0.0666254315149697,True,True
A12,flatness,10,-0.035759942045594,False,True
A12,flatness,15,-0.0039151157716664,False,True
A12,flatness,20,0.026537407304277,False,True
A01,flux,-15,-0.0212882452004087,False,True
A01,flux,-10,0.0217216482514443,False,True
A01,flux,-5,0.0456762837007249,True,True
A01,flux,0,0.0441434237075006,True,True
A01,flux,5,0.0348213462144629,True,True
A01,flux,10,0.029363864073107,False,True
A01,flux,15,0.0301026901792489,True,True
A01,flux,20,0.034972490101939,False,True
A02,flux,-15,-0.0673365730116796,True,False
A02,flux,-10,-0.0458533252295174,True,True
A02,flux,-5,-0.0346588623247474,True,True
A02,flux,0,-0.0278495187559034,False,True
A02,flux,5,0.010059784451911,False,True
A02,flux,10,0.0752324339811943,True,False
A02,flux,15,0.125589171717594,True,False
A02,flux,20,0.158023862663655,True,False
A03,flux,-15,0.0746121722631496,True,False
A03,flux,-10,0.0546245554966211,True,True
A03,flux,-5,0.0293253074923983,False,True
A03,flux,0,-0.0035582347897672,False,True
A03,flux,5,-0.040212030141289,True,True
A03,flux,10,-0.0718986740590158,True,False
A03,flux,15,-0.0874147937617429,True,False
A03,flux,20,-0.090858750326103,True,False
A04,flux,-15,-0.0480194095132722,True,True
A04,flux,-10,-0.0647773991266937,True,True
A04,flux,-5,-0.0814945203541044,True,False
A04,flux,0,-0.0919963598644677,True,False
A04,flux,5,-0.0791345574518851,True,False
A04,flux,10,-0.0459732368906676,True,True
A04,flux,15,-0.0149272211238115,False,True
A04,flux,20,0.0100633334364155,False,True
A07,flux,-15,0.0413717926406522,False,True
A07,flux,-10,0.0375768171507282,True,True
A07,flux,-5,0.0327870619836221,True,True
A07,flux,0,0.0252566587299747,False,True
A07,flux,5,0.0119988319517174,False,True
A07,flux,10,-0.0051309546094432,False,True
A07,flux,15,-0.019956847209381,False,True
A07,flux,20,-0.0320859197503974,False,True
A08,flux,-15,0.0652875935551792,True,False
A08,flux,-10,0.098027364383625,True,False
A08,flux,-5,0.119478658729385,True,False
A08,flux,0,0.122362426427864,True,False
A08,flux,5,0.107402120756472,True,False
A08,flux,10,0.0811746854093188,True,False
A08,flux,15,0.0542607890832441,True,True
A08,flux,20,0.0291437938325559,False,True
A09,flux,-15,-0.013895320263315,False,True
A09,flux,-10,-0.0104098249877352,False,True
A09,flux,-5,0.0029466447515145,False,True
A09,flux,0,0.0262479738151552,False,True
A09,flux,5,0.0413330969033628,True,True
A09,flux,10,0.0460812924176746,True,True
A09,flux,15,0.0550086354105572,True,True
A09,flux,20,0.0695876005201687,True,False
A10,flux,-15,-0.0024575627776019,False,True
A10,flux,-10,-0.0188867262203621,False,True
A10,flux,-5,-0.0305241508888419,False,True
A10,flux,0,-0.0351390175861962,True,True
A10,flux,5,-0.0353944826265323,True,True
A10,flux,10,-0.0326917879399541,True,True
A10,flux,15,-0.0267761617797197,False,True
A10,flux,20,-0.018856684435307,False,True
A11,flux,-15,-0.0071837225760512,False,True
A11,flux,-10,-0.0693984128776578,True,True
A11,flux,-5,-0.115138919684594,True,False
A11,flux,0,-0.133751585373458,True,False
A11,flux,5,-0.126168155849335,True,False
A11,flux,10,-0.101083929778327,True,False
A11,flux,15,-0.0725122058377204,True,True
A11,flux,20,-0.0447663197068805,True,True
A12,flux,-15,-0.0418031362420713,True,True
A12,flux,-10,-0.027920835732829,False,True
A12,flux,-5,-0.0115256699584624,False,True
